"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Hyundai S.FE TM PHEV TGDI 1.6 265CV 4X4 AT TECNO","","Híbridos enchufables","M1","2690","18.1","66.9","58.0","13.8"
"Hyundai STARIA 7S 2.2 CRDI 177CV 4x4 8AT STYLE","","Gasóleo","M1","3030","","","",""
"Hyundai STARIA 9S 2.2 CRDI 177CV 4X4 8AT STYLE 9S","","Gasóleo","M1","3140","","","",""
"Hyundai STARIA 9S 2.2 CRDI 177CV 8AT TECNO","","Gasóleo","M1","3060","","","",""
"Hyundai STARIA 9S CRDI 2.2 177CV AT MAXX","","Gasóleo","M1","3060","","","",""
"Hyundai STARIA 9S CRDI 2.2 177CV AT TECNO","","Gasóleo","M1","3060","","","",""
"Hyundai STARIA 9S CRDI 2.2 177CV AT TECNO LE","","Gasóleo","M1","3060","","","",""
"Hyundai TUCSON                  1.6 CRDI 115CV KLASS","","Gasóleo","M1","2105","","","",""
"Hyundai TUCSON                  1.6 CRDI 115CV KLASS SAFE","","Gasóleo","M1","2105","","","",""
"Hyundai TUCSON                  1.6 CRDI 115CV MAXX","","Gasóleo","M1","2105","","","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT MAXX","","Híbridos de gasóleo","M1","2200","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT MAXX SKY","","Híbridos de gasóleo","M1","2200","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT NLINE SKY","","Híbridos de gasóleo","M1","2200","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT STYLE","","Híbridos de gasóleo","M1","2200","","12.0","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT STYLE TEAL","","Híbridos de gasóleo","M1","2200","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT TECNO 2C","","Híbridos de gasóleo","M1","2200","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V 4X4 DT TECNO SKY","","Híbridos de gasóleo","M1","2200","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT MAXX","","Híbridos de gasóleo","M1","2140","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT MAXX SAFE","","Híbridos de gasóleo","M1","2140","","12.0","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT MAXX SKY","","Híbridos de gasóleo","M1","2140","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT NLINE SKY","","Híbridos de gasóleo","M1","2140","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT NLINE SKY SAFE","","Híbridos de gasóleo","M1","2140","","12.0","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT TECNO 2C","","Híbridos de gasóleo","M1","2140","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V DT TECNO SKY","","Híbridos de gasóleo","M1","2140","","12.2","",""
"Hyundai TUCSON                  1.6 CRDI 136CV 48V MAXX","","Híbridos de gasóleo","M1","2110","","12.0","",""
